,price,Address,Locality,Bed,Area,Full Baths,Half Baths,Lot Size
0,"$725,000",0 Gateway,0 Gateway,,,,,
1,"$452,900",1003 Winchester Blvd.,1003 Winchester Blvd.,4,,4,,
2,"$396,900",600 Talladega,600 Talladega,5,"3,154",3,,
3,"$389,900",3239 Spearhead Way,3239 Spearhead Way,4,"3,076",3,1,
4,"$254,000",522 Emerald Street,522 Emerald Street,3,"1,172",3,,
5,"$252,900",1302 Veteran's Drive,1302 Veteran's Drive,4,"1,932",2,,
6,"$210,000",1021 Cypress Cir,1021 Cypress Cir,4,"1,676",3,,
7,"$209,000",913 Madison Dr,913 Madison Dr,3,"1,344",2,,
8,"$199,900",1344 Teton Street,1344 Teton Street,3,"1,920",2,,
9,"$196,900",4 Minnies Lane,4 Minnies Lane,3,"1,664",2,,
